hgnc_symbol	gene_biotype	baseMean	log2FoldChange	lfcSE	pvalue	padj	diffexpressed
ENSG00000116288	PARK7	protein_coding	2633.0128809266	-0.0744738711682278	0.103890594820933	0.412214617630242	0.661361821585412	NO
ENSG00000299004		lncRNA	16.2897389951983	-0.0738145784177199	0.2269006005777	0.235353061596844	0.490502542923322	NO
ENSG00000284747	AL034417.4	lncRNA	157.125696034734	-0.0745729665758951	0.159661598406777	0.495106649606604	0.724962013046714	NO
ENSG00000284716	AL034417.3	lncRNA	25.9352771741136	-0.162341162738852	0.274097860834123	0.072038453058293	0.25247897650886	NO
ENSG00000116285	ERRFI1	protein_coding	10289.6811891322	-0.388106646108145	0.242048275766842	0.0117250324242051	0.0854556018145426	NO
ENSG00000238290	ERRFI1-DT	lncRNA	716.490524597387	-0.727891237078705	0.296911219077976	0.000381699318801289	0.00869809469833793	DOWN
ENSG00000301006		lncRNA	171.042287347859	-0.384219299200217	0.439797770554066	0.0134514708794475	0.0929042291884481	NO
ENSG00000162426	SLC45A1	protein_coding	107.388267221958	-0.15835425241748	0.173655893203909	0.185436897820863	0.431054752875393	NO
ENSG00000142599	RERE	protein_coding	102603.656501822	-0.105337842972061	0.122762901686574	0.297766260221587	0.556589561476061	NO
ENSG00000232912	RERE-AS1	lncRNA	72.1747709611371	-0.197821999106328	0.199764360309597	0.115324489031176	0.329275854935978	NO
ENSG00000074800	ENO1	protein_coding	6562.29099280149	0.0967105600702615	0.149163227737088	0.381859562029979	0.635099182168496	NO
ENSG00000230679	ENO1-AS1	lncRNA	23.4121299137189	0.00668340154736655	0.204597290138058	0.946446340752431	0.976067261969002	NO
ENSG00000310107		lncRNA	10.7107668764439	0.41906472968232	0.489551564556398	0.0123296890194916	0.0878905564290146	NO
ENSG00000142583	SLC2A5	protein_coding	227.583087054524	0.439852283587728	0.36270249570984	0.0104531750308682	0.0792757577634416	NO
ENSG00000180758	GPR157	protein_coding	2682.52566378056	-0.0973513989137108	0.128665407218335	0.347797062008603	0.603609524959941	NO
ENSG00000228526	MIR34AHG	lncRNA	6868.38686353191	-0.0176424347817699	0.135496774384894	0.865070025895312	0.938407845133021	NO
ENSG00000234546	LNCTAM34A	lncRNA	457.685498664304	-0.308169378231005	0.165039860987296	0.0153738408059189	0.10047413632101	NO
ENSG00000049239	H6PD	protein_coding	6258.83125237572	0.145361062262018	0.0827919174887231	0.0567585246180386	0.219349720399324	NO
ENSG00000171621	SPSB1	protein_coding	8523.5599150146	0.360478397977416	0.267236306406609	0.018708292652062	0.113490128677507	NO
ENSG00000296073		lncRNA	79.8016592615796	0.0172881750727431	0.197594155716271	0.823463531014363	0.918086146355236	NO
ENSG00000284693	LINC02606	lncRNA	121.225575834787	0.660254846687582	0.627827366328112	0.00287490681663257	0.0339462770386803	UP
ENSG00000171612	SLC25A33	protein_coding	3002.5399737224	-0.155967439370041	0.144201526368364	0.160372722887855	0.396629125351597	NO
ENSG00000188807	TMEM201	protein_coding	836.483950267934	-0.00322571197674537	0.0952199740000753	0.947829181131774	0.97680568214506	NO
ENSG00000171608	PIK3CD	protein_coding	1785.3027441433	0.0400739384297681	0.175492346448422	0.70016071102444	0.857002625499032	NO
ENSG00000231789	PIK3CD-AS2	lncRNA	32.7423931874711	-0.179797567157398	0.268402383963933	0.0888624778769632	0.284045412100691	NO
ENSG00000171603	CLSTN1	protein_coding	10735.5189209491	0.00240983637787964	0.103875513052735	0.980349642846613	0.990803843717094	NO
ENSG00000178585	CTNNBIP1	protein_coding	5998.42304663514	-0.118371876800702	0.123490271216297	0.244693652595092	0.500335462157579	NO
ENSG00000228150	AL357140.2	lncRNA	57.5614165421343	-0.398093286535687	0.320777251323354	0.0159569207917012	0.102696154829317	NO
ENSG00000162441	LZIC	protein_coding	1589.49864080892	-0.0190379912971153	0.102031647720581	0.831105679087619	0.921536483849555	NO
ENSG00000173614	NMNAT1	protein_coding	1107.20589438819	-0.294119039112232	0.151060442674681	0.0132733575558661	0.0921583045620072	NO
ENSG00000162444	RBP7	protein_coding	213.648788070989	-0.464437932169498	0.28372261818158	0.00685716481248541	0.0603324003233361	NO
