baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol	gene_biotype	diffexpressed	delabel
ENSG00000287460	773.018696665138	-2.26530385823668	0.579003940862307	-3.9124152676111	9.13776043115087e-05	0.0333052285155957	NA	lncRNA	DOWN	NA
ENSG00000287666	36.8521785249214	-1.43374624649718	0.377704583208992	-3.79594611830235	0.000147081443674403	0.0418012696436275	NA	lncRNA	DOWN	NA
ENSG00000288004	320.247728629508	-4.19049900974083	0.632189220730504	-6.62855182013171	3.38996119295795e-11	2.93850311108577e-07	NA	lncRNA	DOWN	NA
ENSG00000288011	24.4470716540376	2.51874507963831	0.509477179282361	4.94378390644732	7.66206318117454e-07	0.00139824587726771	NA	lncRNA	UP	NA
ENSG00000289332	772.0111559424	-1.61459414957018	0.417941093582399	-3.86320985029402	0.000111906794450781	0.0380406302352149	NA	lncRNA	DOWN	NA
ENSG00000293154	470.76174632711	0.841679375744002	0.225602965343124	3.73079925817409	0.000190873268802949	0.0490233248089233	NA	lncRNA	UP	NA
ENSG00000293169	11.6772035622871	-2.42403718926132	0.585177386165493	-4.14239723982735	3.43694376776067e-05	0.0201981612304348	NA	lncRNA	DOWN	NA
ENSG00000293312	55.3609204745605	1.84496993170012	0.437862917824577	4.2135788544653	2.51355775467663e-05	0.0170887427505692	HNRNPKP3	lncRNA	UP	NA
ENSG00000293712	10.2632635439715	-2.52394363881141	0.65187376771778	-3.87182881687014	0.00010802180828983	0.0373263464601851	NA	lncRNA	DOWN	NA
ENSG00000293723	24.5606017237214	2.55840715070255	0.583845764368493	4.38199145534576	1.17599422411769e-05	0.0112937372391055	NA	lncRNA	UP	NA
ENSG00000293899	276.783368182075	-2.24320880461495	0.40647973560323	-5.5186239512923	3.41664439839373e-08	0.000145207512157037	NA	lncRNA	DOWN	NA
ENSG00000294461	40.9918315689223	1.90908510461945	0.450413223389968	4.23851922075247	2.24998922468004e-05	0.0156027752774662	NA	lncRNA	UP	NA
ENSG00000294718	45.1769558909661	-3.51686463135629	0.775834806537669	-4.53300702897188	5.81498793033467e-06	0.00695251987960324	NA	lncRNA	DOWN	NA
ENSG00000295564	89.246691595272	1.81029861388435	0.415898561413203	4.35274074460139	1.34446105564202e-05	0.0113698776054331	NA	lncRNA	UP	NA
ENSG00000295978	32.717155369587	1.9020434112432	0.463788972649244	4.10109666984619	4.11196722194621e-05	0.022277224919772	NA	lncRNA	UP	NA
ENSG00000296727	12.3226770886688	1.91126340401241	0.464134094049002	4.11791210453637	3.82320449661582e-05	0.021041582462089	NA	lncRNA	UP	NA
ENSG00000297455	182.872903695174	-1.55469586215889	0.386231112414911	-4.02529939247553	5.69028721739741e-05	0.025198825947711	NA	lncRNA	DOWN	NA
ENSG00000297686	59.8912022085232	1.5497447934243	0.410090917817334	3.77902734757612	0.000157442134399748	0.0436353791007124	NA	lncRNA	UP	NA
ENSG00000298250	57.3810160915036	1.71694033549633	0.446988622636479	3.84112760045049	0.000122470427434981	0.0387335885474662	NA	lncRNA	UP	NA
ENSG00000299147	33.8641511015982	-1.81978368937886	0.458457509027426	-3.96936172610491	7.2065411603505e-05	0.0287209657072222	NA	lncRNA	DOWN	NA
ENSG00000299857	16.9082192341467	2.87434521556977	0.672282611437497	4.27550135414592	1.90707641811275e-05	0.0142906394199133	NA	lncRNA	UP	NA
ENSG00000299932	129.970580301688	-3.23627910569523	0.738160698117846	-4.38424737858173	1.16387455876765e-05	0.0112937372391055	NA	lncRNA	DOWN	NA
ENSG00000300258	32.9486592676135	1.85509656278232	0.407837473821586	4.54861723568309	5.39995579248744e-06	0.00668688097117561	NA	lncRNA	UP	NA
ENSG00000300676	406.434189867518	-3.53985889907801	0.889680923716259	-3.97879599833587	6.92651399639436e-05	0.0286669019248824	NA	lncRNA	DOWN	NA
ENSG00000300781	96.5918072273952	1.72688459958034	0.319049567280116	5.41259032037547	6.21195034224596e-08	0.000192701633452117	NA	lncRNA	UP	NA
ENSG00000300876	26.0571338851528	3.21720299232982	0.839337077900628	3.83302856151282	0.000126575250903365	0.0387335885474662	NA	lncRNA	UP	NA
ENSG00000301225	15.1954161117479	-2.57536246614135	0.618039959222132	-4.16698374872511	3.08656492708365e-05	0.0191107974494234	NA	lncRNA	DOWN	NA
ENSG00000302186	32.4305493631149	2.06699718706779	0.43401816070931	4.76246704444284	1.91240436761566e-06	0.00265546777073328	NA	lncRNA	UP	NA
ENSG00000302403	11.9577023554351	3.55880450946641	0.928651236127592	3.83222933542452	0.00012698727664709	0.0387335885474662	NA	lncRNA	UP	NA
ENSG00000302421	11.2290942920097	2.18078658576323	0.53288281406386	4.09243182217148	4.26872772576905e-05	0.0224256964296349	NA	lncRNA	UP	NA
ENSG00000302453	896.299768066236	-2.19506837617996	0.57157495303011	-3.84038587510382	0.000122841069608043	0.0387335885474662	NA	lncRNA	DOWN	NA
ENSG00000302828	340.045583210411	1.66570283210551	0.423702846450356	3.931299603154	8.44879046007097e-05	0.031841838219787	NA	lncRNA	UP	NA
ENSG00000303006	118.73618148669	-4.10821153948572	0.746765398651595	-5.50134158184585	3.76912182220555e-08	0.000145207512157037	NA	lncRNA	DOWN	NA
ENSG00000303091	119.545780207592	1.64029186718213	0.433391231836423	3.7847832320734	0.000153842611886334	0.0431848041274071	NA	lncRNA	UP	NA
ENSG00000303324	348.733574417151	-1.8094983925206	0.446358925172437	-4.05390883989058	5.03688509850202e-05	0.0242560995861612	NA	lncRNA	DOWN	NA
