Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol	gene_biotype	diffexpressed	delabel
ENSG00000229588	448.064602480751	1.4374467905486	0.335952779864735	4.27871676230023	1.87973876690968e-05	0.0150099825878834	AL390115.1	lncRNA	UP	NA
ENSG00000230533	126.829640407084	2.12103692017993	0.538542079978213	3.93847945970302	8.19996123635379e-05	0.0368296899475307	LINC03004	lncRNA	UP	NA
ENSG00000232153	31.2400927834746	3.41478628544484	0.894835214303276	3.81610628511487	0.000135574124498961	0.0492081250843762	AC073218.1	lncRNA	UP	NA
ENSG00000245648	178.690231520949	1.3448785824741	0.354207801337191	3.79686324636828	0.00014653857509683	0.0493428927326048	KLRK1-AS1	lncRNA	UP	NA
ENSG00000248431	6379.24467122158	4.01759730166236	0.77689524684958	5.17135008606924	2.32408685112955e-07	0.000843823728580626	AC005150.1	lncRNA	UP	NA
ENSG00000249332	448.538833810497	-2.73823518602441	0.619102910849713	-4.42290794961083	9.73812385672698e-06	0.00867449111301572	LINC02149	lncRNA	DOWN	NA
ENSG00000251026	12203.6929034095	-3.89647344282167	0.782737890015026	-4.97800539941521	6.42428645734816e-07	0.00163223598099969	NIHCOLE	lncRNA	DOWN	NA
ENSG00000251182	29.241632370209	3.68807235396427	0.878846698108316	4.1964911080655	2.71082099618289e-05	0.0184785427320292	LINC02497	lncRNA	UP	NA
ENSG00000255244	40.9546094771438	3.96010234053183	0.872447172787398	4.53907407124677	5.65017871910999e-06	0.0072355567009461	AC023078.5	lncRNA	UP	NA
ENSG00000257860	20.9984681446451	-7.61967749521846	1.48183192969558	-5.14206594049017	2.71733703922486e-07	0.000843823728580626	C12orf42-AS1	lncRNA	DOWN	NA
ENSG00000258710	26.8545443302625	4.300251449671	1.05995653075074	4.05700736295783	4.97055155838496e-05	0.0272386225399496	LINC01193	lncRNA	UP	NA
ENSG00000258815	1597.82322447409	-5.56250171538654	0.928142179535662	-5.99315690853463	2.05806099577859e-09	2.875934435501e-05	LINC02820	lncRNA	DOWN	NA
ENSG00000259048	232.981195408845	1.3361979125353	0.339584198768799	3.93480591081634	8.32639551567758e-05	0.0368296899475307	AL392023.2	lncRNA	UP	NA
ENSG00000261632	116.586384261828	1.95284586571352	0.492895824675016	3.96198500362852	7.43292100449446e-05	0.0358551278512311	AC022872.1	lncRNA	UP	NA
ENSG00000265987	76.0320206482175	2.24238377949644	0.574131718624279	3.90569569099855	9.39546884261375e-05	0.0386153769431425	AC011933.4	lncRNA	UP	NA
ENSG00000267712	57.4058000150442	2.3638569444735	0.607437037668096	3.8915258666942	9.96157666018657e-05	0.0403487165940426	LINC01539	lncRNA	UP	NA
ENSG00000271554	71.2405172406913	2.1223850974619	0.541791314564641	3.91734795373631	8.9528478246363e-05	0.0381495788349486	AL138787.2	lncRNA	UP	NA
ENSG00000277047	393.036320594834	-4.22736001855652	0.922627634477511	-4.58187015062745	4.60836024660201e-06	0.00677865537747541	AL390964.1	lncRNA	DOWN	NA
ENSG00000281131	98.0835978623411	2.23491134684933	0.56106128207576	3.98336406066166	6.79465448626387e-05	0.0339101792110898	SCHLAP1	lncRNA	UP	NA
ENSG00000282840	68.6789057887254	2.44304359459392	0.549121084665778	4.44900708207349	8.62681719725238e-06	0.00861079596531463	MSL3-DT	lncRNA	UP	NA
ENSG00000286480	87.5554517801821	2.52153954194706	0.614025323584381	4.10657255506587	4.01573362014602e-05	0.0229044333093553		lncRNA	UP	NA
ENSG00000286810	32.2231849836103	5.35361879383516	1.28082828464473	4.179809938629	2.91752833674812e-05	0.0194140671322468		lncRNA	UP	NA
ENSG00000288011	43.9224570157551	3.82972249390914	0.791751639760572	4.83702502348749	1.31796841381449e-06	0.00263104151637767		lncRNA	UP	NA
ENSG00000288423	31.6915454674049	-6.96215355199476	1.57563078165865	-4.41864530259162	9.93214954975322e-06	0.00867449111301572		protein_coding	DOWN	NA
ENSG00000290847	43.4495547798773	4.54377722352071	0.872242149227195	5.20930710301776	1.89547154619686e-07	0.000843823728580626		lncRNA	UP	NA
ENSG00000293318	196.726549516024	4.79131689568955	1.24888332166856	3.83648080854194	0.000124809944426095	0.0471376800921691		lncRNA	UP	NA
ENSG00000295041	645.845987907123	2.46673410135258	0.599443025789107	4.11504345739176	3.87106475396317e-05	0.0225392745299506		lncRNA	UP	NA
ENSG00000296764	47.0122085540543	4.14478698753032	1.02601350946849	4.03970020792171	5.35195662828885e-05	0.0283754425004549		lncRNA	UP	NA
ENSG00000297773	31.1183181789884	3.82885337147859	0.972932341554776	3.93537475109519	8.30669764067663e-05	0.0368296899475307		lncRNA	UP	NA
ENSG00000297854	45.6303426181621	5.33496756251555	0.938378050949649	5.68530727793185	1.30577663131234e-08	0.000121646150973057		lncRNA	UP	NA
ENSG00000298119	53.4921995748206	2.84526005660069	0.552657267080974	5.14832650555523	2.62820719249435e-07	0.000843823728580626		lncRNA	UP	NA
ENSG00000299163	28.2451518877068	4.50297888769824	1.03622634178897	4.34555531557339	1.38923756188353e-05	0.0114195327586826		lncRNA	UP	NA
ENSG00000299197	33.3887983113967	2.8533920686865	0.68636433423415	4.15725574067063	3.22093359076451e-05	0.019835596427022		lncRNA	UP	NA
ENSG00000299642	95.0371849506486	1.61240286397431	0.417109172649178	3.86566148553742	0.000110788515168974	0.0436101045344013		lncRNA	UP	NA
ENSG00000301973	44.6558953507866	4.46666031246513	0.998216595329185	4.47464040706731	7.65400165391974e-06	0.00792274215643514		lncRNA	UP	NA
ENSG00000304626	23.6096864610928	4.93601992995847	1.03759987697459	4.75715161450367	1.96343704563196e-06	0.00342963365945762		lncRNA	UP	NA
ENSG00000306059	27.2440665139174	3.60400900736584	0.916648470276462	3.93172423696825	8.43387776099172e-05	0.0368296899475307		lncRNA	UP	NA
ENSG00000306089	14.6715899073706	-4.42544576476409	1.06530319222867	-4.15416549677825	3.26476826836629e-05	0.019835596427022		lncRNA	DOWN	NA
ENSG00000306384	574.272686266669	-4.53732023227576	0.896914586099545	-5.05880972680734	4.21881566841538e-07	0.00117907460300873		lncRNA	DOWN	NA
ENSG00000306402	2467.61554403235	-1.2926944742035	0.323932176776963	-3.99063312285139	6.58971488483659e-05	0.0334853366548024		lncRNA	DOWN	NA
ENSG00000306835	12.7459976445584	4.54025549649967	1.12426306469043	4.0384280504224	5.38105929771043e-05	0.0283754425004549		lncRNA	UP	NA
ENSG00000307161	43.7321850345808	5.23408409802215	0.85667914392633	6.10973680768428	9.97955772532309e-10	2.7890867930733e-05		lncRNA	UP	NA
ENSG00000307943	16.1326854536982	4.34803783941725	0.968302130769693	4.49037309869497	7.10985242552178e-06	0.00792274215643514		lncRNA	UP	NA
ENSG00000308546	51.3275110068509	2.99361780485485	0.776287577356207	3.85632578979323	0.000115104060942027	0.0446795596556635		lncRNA	UP	NA
ENSG00000309086	29.1151060464216	4.37218656230744	0.967513462855842	4.51899299613042	6.21344499866561e-06	0.0072355567009461		lncRNA	UP	NA
ENSG00000309151	157.701201522405	2.4322254113996	0.519887611610575	4.67836770309787	2.89167648240718e-06	0.00448980968501754		lncRNA	UP	NA
ENSG00000309673	281.46573978373	2.30242451461331	0.605551217240606	3.80219616286971	0.000143419098797912	0.0493428927326048		lncRNA	UP	NA
